original_name,image_key,clean_key,candidate_count,candidates,reason
1750.  #1,1750,1750,5,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]",ambigu
1750.  #2,1750,1750,5,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]",ambigu
1750.  #3,1750,1750,5,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]",ambigu
1750.  #4,1750,1750,5,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]",ambigu
1752.  #1,1752,1752,5,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]",ambigu
1752.  #2,1752,1752,5,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]",ambigu
1752.  #3,1752,1752,5,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]",ambigu
1752.  #4,1752,1752,5,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]",ambigu
175_90cm.jpg,17590cm,17590,5,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]",ambigu
25209.  #1,25209,25209,4,"[""2450/2"", ""2455/2"", ""2882/2"", ""7324/25""]",ambigu
25209.  #2,25209,25209,4,"[""2450/2"", ""2455/2"", ""2882/2"", ""7324/25""]",ambigu
25209.  #3,25209,25209,4,"[""2450/2"", ""2455/2"", ""2882/2"", ""7324/25""]",ambigu
25209.  #4,25209,25209,4,"[""2450/2"", ""2455/2"", ""2882/2"", ""7324/25""]",ambigu
2626_2-1-2 (white).jpg,2626212white,2626212,5,"[""2450/2"", ""2455/2"", ""2882/2"", ""3724/25/26"", ""7425/26""]",ambigu
2765_66 (blue).jpg,276566blue,276566,4,"[""2450/2"", ""2455/2"", ""2882/2"", ""3325/26/27""]",ambigu
2765_66 (yellow).jpg,276566yellow,276566,4,"[""2450/2"", ""2455/2"", ""2882/2"", ""3325/26/27""]",ambigu
2800.jpg,2800,2800,3,"[""2450/2"", ""2455/2"", ""2882/2""]",ambigu
2817_3-1-2-3 (dark green).png,28173123darkgreen,28173123dark,3,"[""2450/2"", ""2455/2"", ""2882/2""]",ambigu
2817_3-1-2-3 (white).  #1,28173123white,28173123,3,"[""2450/2"", ""2455/2"", ""2882/2""]",ambigu
2817_3-1-2-3 (white).  #2,28173123white,28173123,3,"[""2450/2"", ""2455/2"", ""2882/2""]",ambigu
2817_3-1-2-3 (white).  #3,28173123white,28173123,3,"[""2450/2"", ""2455/2"", ""2882/2""]",ambigu
2817_3-1-2-3 (white).  #4,28173123white,28173123,3,"[""2450/2"", ""2455/2"", ""2882/2""]",ambigu
2914.jpg,2914,2914,4,"[""2450/2"", ""2455/2"", ""2882/2"", ""7427/28/29""]",ambigu
3029.  #1,3029,3029,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
3029.  #2,3029,3029,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
3029.  #3,3029,3029,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
3029.  #4,3029,3029,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
3102_03_04 (dark green).jpg,31020304darkgreen,31020304dark,10,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2549/3-1"", ""2882/3"", ""2914/3-1"", ""8268/3-1"", ""8286/3-1"", ""D 9710/3"", ""T3226/3""]",ambigu
380(1).  #1,3801,3801,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
380(1).  #2,3801,3801,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
380(1).  #3,3801,3801,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
380(1).  #4,3801,3801,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
380-rouge.   #1,380rouge,380,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
380-rouge.   #2,380rouge,380,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
380-rouge.   #3,380rouge,380,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
380-rouge.   #4,380rouge,380,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
380.  #1,380,380,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
380.  #2,380,380,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
380.  #3,380,380,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
380.  #4,380,380,6,"[""12063/3 LED"", ""2450/3"", ""2455/3"", ""2882/3"", ""D 9710/3"", ""T3226/3""]",ambigu
6100.png,6100,6100,10,"[""1011/6"", ""1100/6"", ""25209/6"", ""6126/6"", ""81025/6"", ""D 9696/6 bk"", ""L 002/6"", ""L001/6"", ""L007/6"", ""L010/6""]",ambigu
7001.   #1,7001,7001,0,[],aucune-correspondance
7001.   #2,7001,7001,0,[],aucune-correspondance
7001.   #3,7001,7001,0,[],aucune-correspondance
7001.   #4,7001,7001,0,[],aucune-correspondance
7415_16_17(1).jpg,741516171,741516171,0,[],aucune-correspondance
788 6 chaises.png,7886chaises,7886chaises,2,"[""788"", ""h788-1""]",ambigu
81025 #1.png,81025,81025,4,"[""12400/8"", ""2035/8"", ""2039/8"", ""8102""]",ambigu
81025 #2.png,81025,81025,4,"[""12400/8"", ""2035/8"", ""2039/8"", ""8102""]",ambigu
81025 #3.png,81025,81025,4,"[""12400/8"", ""2035/8"", ""2039/8"", ""8102""]",ambigu
