original_name,detected_extension,matched_reference,match_method,reason
B 4024.   #1,.png,4024,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
B 4024.   #2,.jpg,4024,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
B 4024.   #3,.jpg,4024,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
B 4024.   #4,.jpg,4024,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
B 4026.  #1,.jpg,4026,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
B 4026.  #2,.jpg,4026,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
B 4026.  #3,.png,4026,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
B 4026.  #4,.jpg,4026,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
c 922 A.jpg,.jpg,922A,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
c 926.png,.png,A926FGD,signature-numerique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
C922.jpg,.jpg,922A,signature-numerique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
CT 232.png,.png,232,signature-numerique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
d 004.  #1,.jpg,L004,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
d 004.  #2,.jpg,L004,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
d 004.  #3,.jpg,L004,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
d 004.  #4,.jpg,L004,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
d 233. #1,.jpg,233,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
d 233. #2,.jpg,233,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
d 233. #3,.jpg,233,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
d 233. #4,.jpg,233,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
D 9696_6 bk.  #1,.png,9696,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
D 9696_6 bk.  #2,.png,9696,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
D 9696_6 bk.  #3,.png,9696,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
D 9696_6 bk.  #4,.png,9696,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
D 9696_6 GD.  #1,.jpg,9696,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
D 9696_6 GD.  #2,.jpg,9696,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
D 9696_6 GD.  #3,.jpg,9696,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
D 9696_6 GD.  #4,.jpg,9696,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
d006. #1,.png,L006,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
d006. #2,.png,L006,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
d006. #3,.jpg,L006,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
d006. #4,.jpg,L006,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
H 784.png,.png,784,signature-numerique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
kd 159.png,.png,KD 159-1,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
kd 160.png,.png,160,signature-numerique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
kd 247.png,.png,247,signature-numerique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
L 2258_grey.   #1,.jpg,2258,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
L 2258_grey.   #2,.png,2258,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
L 2258_grey.   #3,.jpg,2258,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
L 2258_grey.   #4,.jpg,2258,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
L2258_white.    #1,.jpg,2258,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
L2258_white.    #2,.jpg,2258,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
L2258_white.    #3,.jpg,2258,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
L2258_white.    #4,.jpg,2258,exact-sans-prefixe,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
Lustre 5969 #1.png,.png,5969,signature-numerique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
Lustre 5969 #2.png,.png,5969,signature-numerique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
Lustre 5969 #3.png,.png,5969,signature-numerique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
Lustre 5969 #4.png,.png,5969,signature-numerique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
P 8078_50.  #1,.jpg,8078,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
P 8078_50.  #2,.jpg,8078,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
P 8078_50.  #3,.jpg,8078,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
P 8078_50.  #4,.jpg,8078,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
P 8078_60.  #1,.png,8078,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
P 8078_60.  #2,.png,8078,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
P 8078_60.  #3,.png,8078,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
P 8078_60.  #4,.png,8078,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
P 8078_80.   #1,.png,8078,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
P 8078_80.   #2,.jpg,8078,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
P 8078_80.   #3,.jpg,8078,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
P 8078_80.   #4,.jpg,8078,numero-principal-unique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
ref 2329.jpg,.jpg,2329,signature-numerique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
ref 2672.png,.png,2672,signature-numerique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
RT 9227_A.    #1,.jpg,9227,signature-numerique,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
