original_name,detected_extension,image_key,reason,stage2_reason,stage2_clean_key,stage2_candidates
077_.png,.png,077,aucune,aucune-correspondance,077,[]
09865_9R.  #1,.png,098659r,aucune,aucune-correspondance,098659r,[]
09865_9R.  #2,.png,098659r,aucune,aucune-correspondance,098659r,[]
09865_9R.  #3,.png,098659r,aucune,aucune-correspondance,098659r,[]
09865_9R.  #4,.png,098659r,aucune,aucune-correspondance,098659r,[]
118.png,.png,118,aucune,ambigu,118,"[""2450/1"", ""2455/1"", ""2882/1""]"
11813_1 bk. #1,.jpg,118131bk,aucune,ambigu,118131,"[""2450/1"", ""2455/1"", ""2882/1""]"
11813_1 bk. #2,.jpg,118131bk,aucune,ambigu,118131,"[""2450/1"", ""2455/1"", ""2882/1""]"
11813_1 bk. #3,.jpg,118131bk,aucune,ambigu,118131,"[""2450/1"", ""2455/1"", ""2882/1""]"
11813_1 bk. #4,.jpg,118131bk,aucune,ambigu,118131,"[""2450/1"", ""2455/1"", ""2882/1""]"
12209.    #1,.jpg,12209,aucune,ambigu,12209,"[""2450/1"", ""2455/1"", ""2882/1"", ""L006/12"", ""MX 65 /12""]"
12209.    #2,.jpg,12209,aucune,ambigu,12209,"[""2450/1"", ""2455/1"", ""2882/1"", ""L006/12"", ""MX 65 /12""]"
12209.    #3,.jpg,12209,aucune,ambigu,12209,"[""2450/1"", ""2455/1"", ""2882/1"", ""L006/12"", ""MX 65 /12""]"
12209.    #4,.jpg,12209,aucune,ambigu,12209,"[""2450/1"", ""2455/1"", ""2882/1"", ""L006/12"", ""MX 65 /12""]"
131.png,.png,131,aucune,ambigu,131,"[""2450/1"", ""2455/1"", ""2882/1"", ""L012/13""]"
1701.  #1,.jpg,1701,aucune,ambigu,1701,"[""2450/1"", ""2455/1"", ""2882/1""]"
1701.  #2,.jpg,1701,aucune,ambigu,1701,"[""2450/1"", ""2455/1"", ""2882/1""]"
1701.  #3,.jpg,1701,aucune,ambigu,1701,"[""2450/1"", ""2455/1"", ""2882/1""]"
1701.  #4,.jpg,1701,aucune,ambigu,1701,"[""2450/1"", ""2455/1"", ""2882/1""]"
171_90.jpg,.jpg,17190,aucune,ambigu,17190,"[""2450/1"", ""2455/1"", ""2882/1""]"
173_.jpg,.jpg,173,aucune,ambigu,173,"[""2450/1"", ""2455/1"", ""2882/1""]"
1750.  #1,.jpg,1750,aucune,ambigu,1750,"[""2450/1"", ""2455/1"", ""2882/1""]"
1750.  #2,.jpg,1750,aucune,ambigu,1750,"[""2450/1"", ""2455/1"", ""2882/1""]"
1750.  #3,.jpg,1750,aucune,ambigu,1750,"[""2450/1"", ""2455/1"", ""2882/1""]"
1750.  #4,.jpg,1750,aucune,ambigu,1750,"[""2450/1"", ""2455/1"", ""2882/1""]"
1752.  #1,.jpg,1752,aucune,ambigu,1752,"[""2450/1"", ""2455/1"", ""2882/1""]"
1752.  #2,.jpg,1752,aucune,ambigu,1752,"[""2450/1"", ""2455/1"", ""2882/1""]"
1752.  #3,.jpg,1752,aucune,ambigu,1752,"[""2450/1"", ""2455/1"", ""2882/1""]"
1752.  #4,.jpg,1752,aucune,ambigu,1752,"[""2450/1"", ""2455/1"", ""2882/1""]"
175_90cm.jpg,.jpg,17590cm,aucune,ambigu,17590,"[""2450/1"", ""2455/1"", ""2882/1""]"
2026 F   #1.png,.png,2026f,aucune,ambigu,2026f,"[""2450/2"", ""2455/2"", ""2882/2""]"
2026 F   #2.png,.png,2026f,aucune,ambigu,2026f,"[""2450/2"", ""2455/2"", ""2882/2""]"
2026 F   #3.png,.png,2026f,aucune,ambigu,2026f,"[""2450/2"", ""2455/2"", ""2882/2""]"
2026 F   #4.png,.png,2026f,aucune,ambigu,2026f,"[""2450/2"", ""2455/2"", ""2882/2""]"
2101_.png,.png,2101,aucune,ambigu,2101,"[""2450/2"", ""2455/2"", ""2882/2"", ""8144/2-1"", ""8274/2-1"", ""8420/2-1""]"
2128_3-1-2-3.jpg,.jpg,21283123,aucune,ambigu,21283123,"[""2450/2"", ""2455/2"", ""2628/2-1-2"", ""2736/2-1-2"", ""2757/2-1-2"", ""2759/2-1-2"", ""2787/2-1-2"", ""2794/2-1-2"", ""2882/2"", ""2893/2-1-2""]"
21804.png,.png,21804,aucune,ambigu,21804,"[""2450/2"", ""2455/2"", ""2882/2"", ""8144/2-1"", ""8274/2-1"", ""8420/2-1""]"
222.png,.png,222,aucune,ambigu,222,"[""2450/2"", ""2455/2"", ""2882/2"", ""8274/2-2""]"
2233_ grey and white. #1,.png,2233greyandwhite,aucune,ambigu,2233,"[""2450/2"", ""2455/2"", ""2882/2"", ""8274/2-2""]"
2233_ grey and white. #2,.png,2233greyandwhite,aucune,ambigu,2233,"[""2450/2"", ""2455/2"", ""2882/2"", ""8274/2-2""]"
2233_ grey and white. #3,.png,2233greyandwhite,aucune,ambigu,2233,"[""2450/2"", ""2455/2"", ""2882/2"", ""8274/2-2""]"
2233_ grey and white. #4,.png,2233greyandwhite,aucune,ambigu,2233,"[""2450/2"", ""2455/2"", ""2882/2"", ""8274/2-2""]"
2233_grey.   #1,.png,2233grey,aucune,ambigu,2233,"[""2450/2"", ""2455/2"", ""2882/2"", ""8274/2-2""]"
2233_grey.   #2,.png,2233grey,aucune,ambigu,2233,"[""2450/2"", ""2455/2"", ""2882/2"", ""8274/2-2""]"
