original_name,detected_extension,image_key,reason,stage2_reason,stage2_clean_key,stage2_candidates
077_.png,.png,077,aucune,fichier-image-introuvable,077,"[""077.""]"
09865_9R.  #1,.png,098659r,aucune,fichier-image-introuvable,098659r,"[""09865/9R""]"
09865_9R.  #2,.png,098659r,aucune,fichier-image-introuvable,098659r,"[""09865/9R""]"
09865_9R.  #3,.png,098659r,aucune,fichier-image-introuvable,098659r,"[""09865/9R""]"
09865_9R.  #4,.png,098659r,aucune,fichier-image-introuvable,098659r,"[""09865/9R""]"
118.png,.png,118,aucune,fichier-image-introuvable,118,"[""118""]"
11813_1 bk. #1,.jpg,118131bk,aucune,fichier-image-introuvable,118131,"[""11813/1 bk""]"
11813_1 bk. #2,.jpg,118131bk,aucune,fichier-image-introuvable,118131,"[""11813/1 bk""]"
11813_1 bk. #3,.jpg,118131bk,aucune,fichier-image-introuvable,118131,"[""11813/1 bk""]"
11813_1 bk. #4,.jpg,118131bk,aucune,fichier-image-introuvable,118131,"[""11813/1 bk""]"
12209.    #1,.jpg,12209,aucune,fichier-image-introuvable,12209,"[""12209""]"
12209.    #2,.jpg,12209,aucune,fichier-image-introuvable,12209,"[""12209""]"
12209.    #3,.jpg,12209,aucune,fichier-image-introuvable,12209,"[""12209""]"
12209.    #4,.jpg,12209,aucune,fichier-image-introuvable,12209,"[""12209""]"
131.png,.png,131,aucune,fichier-image-introuvable,131,"[""131""]"
1701.  #1,.jpg,1701,aucune,fichier-image-introuvable,1701,"[""1701""]"
1701.  #2,.jpg,1701,aucune,fichier-image-introuvable,1701,"[""1701""]"
1701.  #3,.jpg,1701,aucune,fichier-image-introuvable,1701,"[""1701""]"
1701.  #4,.jpg,1701,aucune,fichier-image-introuvable,1701,"[""1701""]"
171_90.jpg,.jpg,17190,aucune,fichier-image-introuvable,17190,"[""171/90""]"
173_.jpg,.jpg,173,aucune,fichier-image-introuvable,173,"[""173.""]"
1750.  #1,.jpg,1750,aucune,ambigu,1750,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]"
1750.  #2,.jpg,1750,aucune,ambigu,1750,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]"
1750.  #3,.jpg,1750,aucune,ambigu,1750,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]"
1750.  #4,.jpg,1750,aucune,ambigu,1750,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]"
1752.  #1,.jpg,1752,aucune,ambigu,1752,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]"
1752.  #2,.jpg,1752,aucune,ambigu,1752,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]"
1752.  #3,.jpg,1752,aucune,ambigu,1752,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]"
1752.  #4,.jpg,1752,aucune,ambigu,1752,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]"
175_90cm.jpg,.jpg,17590cm,aucune,ambigu,17590,"[""11813/1 bk"", ""2450/1"", ""2455/1"", ""2882/1"", ""7415/16/17""]"
2026 F   #1.png,.png,2026f,aucune,fichier-image-introuvable,2026f,"[""2026 F""]"
2026 F   #2.png,.png,2026f,aucune,fichier-image-introuvable,2026f,"[""2026 F""]"
2026 F   #3.png,.png,2026f,aucune,fichier-image-introuvable,2026f,"[""2026 F""]"
2026 F   #4.png,.png,2026f,aucune,fichier-image-introuvable,2026f,"[""2026 F""]"
2101_.png,.png,2101,aucune,fichier-image-introuvable,2101,"[""2101.""]"
2128_3-1-2-3.jpg,.jpg,21283123,aucune,fichier-image-introuvable,21283123,"[""2128/3-1-2-3""]"
21804.png,.png,21804,aucune,fichier-image-introuvable,21804,"[""21804""]"
222.png,.png,222,aucune,fichier-image-introuvable,222,"[""222""]"
2233_ grey and white. #1,.png,2233greyandwhite,aucune,fichier-image-introuvable,2233,"[""2233""]"
2233_ grey and white. #2,.png,2233greyandwhite,aucune,fichier-image-introuvable,2233,"[""2233""]"
2233_ grey and white. #3,.png,2233greyandwhite,aucune,fichier-image-introuvable,2233,"[""2233""]"
2233_ grey and white. #4,.png,2233greyandwhite,aucune,fichier-image-introuvable,2233,"[""2233""]"
2233_grey.   #1,.png,2233grey,aucune,fichier-image-introuvable,2233,"[""2233""]"
2233_grey.   #2,.png,2233grey,aucune,fichier-image-introuvable,2233,"[""2233""]"
2233_grey.   #3,.png,2233grey,aucune,fichier-image-introuvable,2233,"[""2233""]"
2233_grey.   #4,.png,2233grey,aucune,fichier-image-introuvable,2233,"[""2233""]"
2233_white.   #1,.png,2233white,aucune,fichier-image-introuvable,2233,"[""2233""]"
2233_white.   #2,.png,2233white,aucune,fichier-image-introuvable,2233,"[""2233""]"
2233_white.   #3,.png,2233white,aucune,fichier-image-introuvable,2233,"[""2233""]"
2233_white.   #4,.png,2233white,aucune,fichier-image-introuvable,2233,"[""2233""]"
2309.jpg,.jpg,2309,aucune,fichier-image-introuvable,2309,"[""2309""]"
2310.png,.png,2310,aucune,fichier-image-introuvable,2310,"[""2310""]"
2377.png,.png,2377,aucune,fichier-image-introuvable,2377,"[""2377""]"
2408.png,.png,2408,aucune,fichier-image-introuvable,2408,"[""2408""]"
2442.   #1,.jpg,2442,aucune,fichier-image-introuvable,2442,"[""2442""]"
2442.   #2,.jpg,2442,aucune,fichier-image-introuvable,2442,"[""2442""]"
2442.   #3,.jpg,2442,aucune,fichier-image-introuvable,2442,"[""2442""]"
2442.   #4,.jpg,2442,aucune,fichier-image-introuvable,2442,"[""2442""]"
2443.   #1,.jpg,2443,aucune,fichier-image-introuvable,2443,"[""2443""]"
2443.   #2,.jpg,2443,aucune,fichier-image-introuvable,2443,"[""2443""]"
2443.   #3,.jpg,2443,aucune,fichier-image-introuvable,2443,"[""2443""]"
2443.   #4,.png,2443,aucune,fichier-image-introuvable,2443,"[""2443""]"
2462 (purple).jpg,.jpg,2462purple,aucune,fichier-image-introuvable,2462,"[""2462""]"
2462 (yellow).jpg,.jpg,2462yellow,aucune,fichier-image-introuvable,2462,"[""2462""]"
2503 (black).png,.png,2503black,aucune,fichier-image-introuvable,2503,"[""2503""]"
2503 (white).jpg,.jpg,2503white,aucune,fichier-image-introuvable,2503,"[""2503""]"
25209.  #1,.jpg,25209,aucune,ambigu,25209,"[""2450/2"", ""2455/2"", ""2882/2"", ""7324/25""]"
25209.  #2,.jpg,25209,aucune,ambigu,25209,"[""2450/2"", ""2455/2"", ""2882/2"", ""7324/25""]"
25209.  #3,.jpg,25209,aucune,ambigu,25209,"[""2450/2"", ""2455/2"", ""2882/2"", ""7324/25""]"
25209.  #4,.jpg,25209,aucune,ambigu,25209,"[""2450/2"", ""2455/2"", ""2882/2"", ""7324/25""]"
2557.jpg,.jpg,2557,aucune,fichier-image-introuvable,2557,"[""2557""]"
2569.png,.png,2569,aucune,fichier-image-introuvable,2569,"[""2569""]"
2570.jpg,.jpg,2570,aucune,fichier-image-introuvable,2570,"[""2570""]"
2572.jpg,.jpg,2572,aucune,fichier-image-introuvable,2572,"[""2572""]"
2587.jpg,.jpg,2587,aucune,fichier-image-introuvable,2587,"[""2587""]"
2593.jpg,.jpg,2593,aucune,fichier-image-introuvable,2593,"[""2593""]"
2594.jpg,.jpg,2594,aucune,fichier-image-introuvable,2594,"[""2594""]"
2595.jpg,.jpg,2595,aucune,fichier-image-introuvable,2595,"[""2595""]"
2597_98_99.jpg,.jpg,25979899,aucune,fichier-image-introuvable,25979899,"[""2597/98/99""]"
2615_3-1-2-3.jpg,.jpg,26153123,aucune,fichier-image-introuvable,26153123,"[""2615/3-1-2-3""]"
2626_2-1-2 (white).jpg,.jpg,2626212white,aucune,ambigu,2626212,"[""2450/2"", ""2455/2"", ""2882/2"", ""3724/25/26"", ""7425/26""]"
2626_2-1-2.png,.png,2626212,aucune,fichier-image-introuvable,2626212,"[""2626/2-1-2""]"
2644.    #1,.png,2644,aucune,fichier-image-introuvable,2644,"[""2644""]"
2644.    #2,.png,2644,aucune,fichier-image-introuvable,2644,"[""2644""]"
2644.    #3,.png,2644,aucune,fichier-image-introuvable,2644,"[""2644""]"
2644.    #4,.png,2644,aucune,fichier-image-introuvable,2644,"[""2644""]"
2644.   #1,.jpg,2644,aucune,fichier-image-introuvable,2644,"[""2644""]"
2644.   #2,.jpg,2644,aucune,fichier-image-introuvable,2644,"[""2644""]"
2644.   #3,.jpg,2644,aucune,fichier-image-introuvable,2644,"[""2644""]"
2644.   #4,.png,2644,aucune,fichier-image-introuvable,2644,"[""2644""]"
2645.   #1,.png,2645,aucune,fichier-image-introuvable,2645,"[""2645""]"
2645.   #2,.png,2645,aucune,fichier-image-introuvable,2645,"[""2645""]"
2645.   #3,.png,2645,aucune,fichier-image-introuvable,2645,"[""2645""]"
2645.   #4,.png,2645,aucune,fichier-image-introuvable,2645,"[""2645""]"
2647.  #1,.jpg,2647,aucune,fichier-image-introuvable,2647,"[""2647""]"
2647.  #2,.jpg,2647,aucune,fichier-image-introuvable,2647,"[""2647""]"
2647.  #3,.jpg,2647,aucune,fichier-image-introuvable,2647,"[""2647""]"
2647.  #4,.jpg,2647,aucune,fichier-image-introuvable,2647,"[""2647""]"
2684.  #1,.jpg,2684,aucune,fichier-image-introuvable,2684,"[""2684""]"
2684.  #2,.jpg,2684,aucune,fichier-image-introuvable,2684,"[""2684""]"
2684.  #3,.jpg,2684,aucune,fichier-image-introuvable,2684,"[""2684""]"
2684.  #4,.png,2684,aucune,fichier-image-introuvable,2684,"[""2684""]"
2686.   #1,.jpg,2686,aucune,fichier-image-introuvable,2686,"[""2686""]"
2686.   #2,.jpg,2686,aucune,fichier-image-introuvable,2686,"[""2686""]"
2686.   #3,.jpg,2686,aucune,fichier-image-introuvable,2686,"[""2686""]"
2686.   #4,.jpg,2686,aucune,fichier-image-introuvable,2686,"[""2686""]"
2688.   #1,.jpg,2688,aucune,fichier-image-introuvable,2688,"[""2688""]"
2688.   #2,.jpg,2688,aucune,fichier-image-introuvable,2688,"[""2688""]"
2688.   #3,.jpg,2688,aucune,fichier-image-introuvable,2688,"[""2688""]"
2688.   #4,.jpg,2688,aucune,fichier-image-introuvable,2688,"[""2688""]"
269.jpg,.jpg,269,aucune,fichier-image-introuvable,269,"[""269.""]"
269_.png,.png,269,aucune,fichier-image-introuvable,269,"[""269.""]"
2701_02.jpg,.jpg,270102,aucune,fichier-image-introuvable,270102,"[""2701/02""]"
2702_03.jpg,.jpg,270203,aucune,fichier-image-introuvable,270203,"[""2702/03""]"
2707_08.jpg,.jpg,270708,aucune,fichier-image-introuvable,270708,"[""2707/08""]"
2724_2-1-2.jpg,.jpg,2724212,aucune,fichier-image-introuvable,2724212,"[""2724/2-1-2""]"
2726_2-1-2.jpg,.jpg,2726212,aucune,fichier-image-introuvable,2726212,"[""2726/2-1-2""]"
2728_2-1-2.jpg,.jpg,2728212,aucune,fichier-image-introuvable,2728212,"[""2728/2-1-2""]"
2729.jpg,.jpg,2729,aucune,fichier-image-introuvable,2729,"[""2729""]"
2733(1).jpg,.jpg,27331,aucune,fichier-image-introuvable,27331,"[""2733""]"
2733.jpg,.jpg,2733,aucune,fichier-image-introuvable,2733,"[""2733""]"
2734.png,.png,2734,aucune,fichier-image-introuvable,2734,"[""2734""]"
2738.png,.png,2738,aucune,fichier-image-introuvable,2738,"[""2738""]"
2739.png,.png,2739,aucune,fichier-image-introuvable,2739,"[""2739""]"
2740.   #1,.jpg,2740,aucune,fichier-image-introuvable,2740,"[""2740""]"
2741.  #1,.jpg,2741,aucune,fichier-image-introuvable,2741,"[""2741""]"
2741.  #2,.jpg,2741,aucune,fichier-image-introuvable,2741,"[""2741""]"
2741.  #3,.png,2741,aucune,fichier-image-introuvable,2741,"[""2741""]"
2741.  #4,.jpg,2741,aucune,fichier-image-introuvable,2741,"[""2741""]"
2742.jpg,.jpg,2742,aucune,fichier-image-introuvable,2742,"[""2742""]"
2746.   #1,.jpg,2746,aucune,fichier-image-introuvable,2746,"[""2746""]"
2746.   #2,.jpg,2746,aucune,fichier-image-introuvable,2746,"[""2746""]"
2746.   #3,.jpg,2746,aucune,fichier-image-introuvable,2746,"[""2746""]"
2746.   #4,.jpg,2746,aucune,fichier-image-introuvable,2746,"[""2746""]"
2747 (white and black).png,.png,2747whiteandblack,aucune,fichier-image-introuvable,2747,"[""2747""]"
2747.   #1,.png,2747,aucune,fichier-image-introuvable,2747,"[""2747""]"
2747.   #2,.jpg,2747,aucune,fichier-image-introuvable,2747,"[""2747""]"
2747.   #3,.png,2747,aucune,fichier-image-introuvable,2747,"[""2747""]"
2747.   #4,.jpg,2747,aucune,fichier-image-introuvable,2747,"[""2747""]"
2749.   #1,.png,2749,aucune,fichier-image-introuvable,2749,"[""2749""]"
2749.jpg,.jpg,2749,aucune,fichier-image-introuvable,2749,"[""2749""]"
2750.   #1,.png,2750,aucune,fichier-image-introuvable,2750,"[""2750""]"
2750.   #2,.png,2750,aucune,fichier-image-introuvable,2750,"[""2750""]"
2750.   #3,.png,2750,aucune,fichier-image-introuvable,2750,"[""2750""]"
2750.   #4,.png,2750,aucune,fichier-image-introuvable,2750,"[""2750""]"
2750.png,.png,2750,aucune,fichier-image-introuvable,2750,"[""2750""]"
2754 (blue and green).jpg,.jpg,2754blueandgreen,aucune,fichier-image-introuvable,2754,"[""2754""]"
2760_2-2.jpg,.jpg,276022,aucune,fichier-image-introuvable,276022,"[""2760/2-2""]"
2765_66 (blue).jpg,.jpg,276566blue,aucune,ambigu,276566,"[""2450/2"", ""2455/2"", ""2882/2"", ""3325/26/27""]"
2765_66 (yellow).jpg,.jpg,276566yellow,aucune,ambigu,276566,"[""2450/2"", ""2455/2"", ""2882/2"", ""3325/26/27""]"
2777 (white).png,.png,2777white,aucune,fichier-image-introuvable,2777,"[""2777""]"
2777.png,.png,2777,aucune,fichier-image-introuvable,2777,"[""2777""]"
2780 (blue).png,.png,2780blue,aucune,fichier-image-introuvable,2780,"[""2780""]"
2780 (green).png,.png,2780green,aucune,fichier-image-introuvable,2780,"[""2780""]"
2780 (purple).png,.png,2780purple,aucune,fichier-image-introuvable,2780,"[""2780""]"
2781.jpg,.jpg,2781,aucune,fichier-image-introuvable,2781,"[""2781""]"
2792_2-1-2.jpg,.jpg,2792212,aucune,fichier-image-introuvable,2792212,"[""2792/2-1-2""]"
2797.png,.png,2797,aucune,fichier-image-introuvable,2797,"[""2797""]"
2799.jpg,.jpg,2799,aucune,fichier-image-introuvable,2799,"[""2799""]"
2800.jpg,.jpg,2800,aucune,ambigu,2800,"[""2450/2"", ""2455/2"", ""2882/2""]"
2802.jpg,.jpg,2802,aucune,fichier-image-introuvable,2802,"[""2802""]"
2804.jpg,.jpg,2804,aucune,fichier-image-introuvable,2804,"[""2804""]"
2811.png,.png,2811,aucune,fichier-image-introuvable,2811,"[""2811""]"
2813.jpg,.jpg,2813,aucune,fichier-image-introuvable,2813,"[""2813""]"
