original_name,detected_extension,image_key,reason
077_.png,.png,077,aucune
09865_9R.  #1,.png,098659r,aucune
09865_9R.  #2,.png,098659r,aucune
09865_9R.  #3,.png,098659r,aucune
09865_9R.  #4,.png,098659r,aucune
118.png,.png,118,aucune
11813_1 bk. #1,.jpg,118131bk,aucune
11813_1 bk. #2,.jpg,118131bk,aucune
11813_1 bk. #3,.jpg,118131bk,aucune
11813_1 bk. #4,.jpg,118131bk,aucune
12209.    #1,.jpg,12209,aucune
12209.    #2,.jpg,12209,aucune
12209.    #3,.jpg,12209,aucune
12209.    #4,.jpg,12209,aucune
131.png,.png,131,aucune
1701.  #1,.jpg,1701,aucune
1701.  #2,.jpg,1701,aucune
1701.  #3,.jpg,1701,aucune
1701.  #4,.jpg,1701,aucune
171_90.jpg,.jpg,17190,aucune
173_.jpg,.jpg,173,aucune
1750.  #1,.jpg,1750,aucune
1750.  #2,.jpg,1750,aucune
1750.  #3,.jpg,1750,aucune
1750.  #4,.jpg,1750,aucune
1752.  #1,.jpg,1752,aucune
1752.  #2,.jpg,1752,aucune
1752.  #3,.jpg,1752,aucune
1752.  #4,.jpg,1752,aucune
175_90cm.jpg,.jpg,17590cm,aucune
2026 F   #1.png,.png,2026f,aucune
2026 F   #2.png,.png,2026f,aucune
2026 F   #3.png,.png,2026f,aucune
2026 F   #4.png,.png,2026f,aucune
2101_.png,.png,2101,aucune
2128_3-1-2-3.jpg,.jpg,21283123,aucune
21804.png,.png,21804,aucune
222.png,.png,222,aucune
2233_ grey and white. #1,.png,2233greyandwhite,aucune
2233_ grey and white. #2,.png,2233greyandwhite,aucune
2233_ grey and white. #3,.png,2233greyandwhite,aucune
2233_ grey and white. #4,.png,2233greyandwhite,aucune
2233_grey.   #1,.png,2233grey,aucune
2233_grey.   #2,.png,2233grey,aucune
2233_grey.   #3,.png,2233grey,aucune
2233_grey.   #4,.png,2233grey,aucune
2233_white.   #1,.png,2233white,aucune
2233_white.   #2,.png,2233white,aucune
2233_white.   #3,.png,2233white,aucune
2233_white.   #4,.png,2233white,aucune
2309.jpg,.jpg,2309,aucune
2310.png,.png,2310,aucune
2377.png,.png,2377,aucune
2408.png,.png,2408,aucune
2442.   #1,.jpg,2442,aucune
2442.   #2,.jpg,2442,aucune
2442.   #3,.jpg,2442,aucune
2442.   #4,.jpg,2442,aucune
2443.   #1,.jpg,2443,aucune
2443.   #2,.jpg,2443,aucune
2443.   #3,.jpg,2443,aucune
2443.   #4,.png,2443,aucune
2462 (purple).jpg,.jpg,2462purple,aucune
2462 (yellow).jpg,.jpg,2462yellow,aucune
2503 (black).png,.png,2503black,aucune
2503 (white).jpg,.jpg,2503white,aucune
25209.  #1,.jpg,25209,aucune
25209.  #2,.jpg,25209,aucune
25209.  #3,.jpg,25209,aucune
25209.  #4,.jpg,25209,aucune
2557.jpg,.jpg,2557,aucune
2569.png,.png,2569,aucune
2570.jpg,.jpg,2570,aucune
2572.jpg,.jpg,2572,aucune
2587.jpg,.jpg,2587,aucune
2593.jpg,.jpg,2593,aucune
2594.jpg,.jpg,2594,aucune
2595.jpg,.jpg,2595,aucune
2597_98_99.jpg,.jpg,25979899,aucune
2615_3-1-2-3.jpg,.jpg,26153123,aucune
2626_2-1-2 (white).jpg,.jpg,2626212white,aucune
2626_2-1-2.png,.png,2626212,aucune
2644.    #1,.png,2644,aucune
2644.    #2,.png,2644,aucune
2644.    #3,.png,2644,aucune
2644.    #4,.png,2644,aucune
2644.   #1,.jpg,2644,aucune
2644.   #2,.jpg,2644,aucune
2644.   #3,.jpg,2644,aucune
2644.   #4,.png,2644,aucune
2645.   #1,.png,2645,aucune
2645.   #2,.png,2645,aucune
2645.   #3,.png,2645,aucune
2645.   #4,.png,2645,aucune
2647.  #1,.jpg,2647,aucune
2647.  #2,.jpg,2647,aucune
2647.  #3,.jpg,2647,aucune
2647.  #4,.jpg,2647,aucune
2684.  #1,.jpg,2684,aucune
2684.  #2,.jpg,2684,aucune
2684.  #3,.jpg,2684,aucune
2684.  #4,.png,2684,aucune
2686.   #1,.jpg,2686,aucune
2686.   #2,.jpg,2686,aucune
2686.   #3,.jpg,2686,aucune
2686.   #4,.jpg,2686,aucune
2688.   #1,.jpg,2688,aucune
2688.   #2,.jpg,2688,aucune
2688.   #3,.jpg,2688,aucune
2688.   #4,.jpg,2688,aucune
269.jpg,.jpg,269,aucune
269_.png,.png,269,aucune
2701_02.jpg,.jpg,270102,aucune
2702_03.jpg,.jpg,270203,aucune
2707_08.jpg,.jpg,270708,aucune
2724_2-1-2.jpg,.jpg,2724212,aucune
2726_2-1-2.jpg,.jpg,2726212,aucune
2728_2-1-2.jpg,.jpg,2728212,aucune
2729.jpg,.jpg,2729,aucune
2733(1).jpg,.jpg,27331,aucune
2733.jpg,.jpg,2733,aucune
2734.png,.png,2734,aucune
2738.png,.png,2738,aucune
2739.png,.png,2739,aucune
2740.   #1,.jpg,2740,aucune
2741.  #1,.jpg,2741,aucune
2741.  #2,.jpg,2741,aucune
2741.  #3,.png,2741,aucune
2741.  #4,.jpg,2741,aucune
2742.jpg,.jpg,2742,aucune
2746.   #1,.jpg,2746,aucune
2746.   #2,.jpg,2746,aucune
2746.   #3,.jpg,2746,aucune
2746.   #4,.jpg,2746,aucune
2747 (white and black).png,.png,2747whiteandblack,aucune
2747.   #1,.png,2747,aucune
2747.   #2,.jpg,2747,aucune
2747.   #3,.png,2747,aucune
2747.   #4,.jpg,2747,aucune
2749.   #1,.png,2749,aucune
2749.jpg,.jpg,2749,aucune
2750.   #1,.png,2750,aucune
2750.   #2,.png,2750,aucune
2750.   #3,.png,2750,aucune
2750.   #4,.png,2750,aucune
2750.png,.png,2750,aucune
2754 (blue and green).jpg,.jpg,2754blueandgreen,aucune
2760_2-2.jpg,.jpg,276022,aucune
2765_66 (blue).jpg,.jpg,276566blue,aucune
2765_66 (yellow).jpg,.jpg,276566yellow,aucune
2777 (white).png,.png,2777white,aucune
2777.png,.png,2777,aucune
2780 (blue).png,.png,2780blue,aucune
2780 (green).png,.png,2780green,aucune
2780 (purple).png,.png,2780purple,aucune
2781.jpg,.jpg,2781,aucune
2792_2-1-2.jpg,.jpg,2792212,aucune
2797.png,.png,2797,aucune
2799.jpg,.jpg,2799,aucune
2800.jpg,.jpg,2800,aucune
2802.jpg,.jpg,2802,aucune
2804.jpg,.jpg,2804,aucune
2811.png,.png,2811,aucune
2813.jpg,.jpg,2813,aucune
2814.jpg,.jpg,2814,aucune
2815.jpg,.jpg,2815,aucune
2816.jpg,.jpg,2816,aucune
2817_3-1-2-3 (dark green).png,.png,28173123darkgreen,aucune
2817_3-1-2-3 (white).  #1,.png,28173123white,aucune
2817_3-1-2-3 (white).  #2,.png,28173123white,aucune
2817_3-1-2-3 (white).  #3,.png,28173123white,aucune
2817_3-1-2-3 (white).  #4,.png,28173123white,aucune
2817_3-1-2-3.  #1,.png,28173123,aucune
2817_3-1-2-3.  #2,.png,28173123,aucune
2817_3-1-2-3.  #3,.png,28173123,aucune
2817_3-1-2-3.  #4,.png,28173123,aucune
2820_2-1-2.   #1,.png,2820212,aucune
2820_2-1-2.   #2,.png,2820212,aucune
2820_2-1-2.   #3,.png,2820212,aucune
2820_2-1-2.   #4,.png,2820212,aucune
2829.jpg,.jpg,2829,aucune
2831_2-2.  #1,.jpg,283122,aucune
2831_2-2.  #2,.jpg,283122,aucune
