original_name,detected_extension,matched_reference,normalized_reference,match_method,image_key,renamed_file,csv_path
0145 Bej.    #1,.png,0145,0145,prefixe-plus-long,0145bej,0145-001.png,backend/uploads/products/0145-001.png
0145 Bej.    #2,.png,0145,0145,prefixe-plus-long,0145bej,0145-002.png,backend/uploads/products/0145-002.png
0145 Bej.    #3,.png,0145,0145,prefixe-plus-long,0145bej,0145-003.png,backend/uploads/products/0145-003.png
0145 Bej.    #4,.png,0145,0145,prefixe-plus-long,0145bej,0145-004.png,backend/uploads/products/0145-004.png
0145 BK.  #1,.png,0145,0145,prefixe-plus-long,0145bk,0145-005.png,backend/uploads/products/0145-005.png
0145 BK.  #2,.jpg,0145,0145,prefixe-plus-long,0145bk,0145-006.jpg,backend/uploads/products/0145-006.jpg
0145 BK.  #3,.jpg,0145,0145,prefixe-plus-long,0145bk,0145-007.jpg,backend/uploads/products/0145-007.jpg
0145 BK.  #4,.jpg,0145,0145,prefixe-plus-long,0145bk,0145-008.jpg,backend/uploads/products/0145-008.jpg
0145 Gry.    #1,.png,0145,0145,prefixe-plus-long,0145gry,0145-009.png,backend/uploads/products/0145-009.png
0145 Gry.    #2,.png,0145,0145,prefixe-plus-long,0145gry,0145-010.png,backend/uploads/products/0145-010.png
0145 Gry.    #3,.png,0145,0145,prefixe-plus-long,0145gry,0145-011.png,backend/uploads/products/0145-011.png
0145 Gry.    #4,.png,0145,0145,prefixe-plus-long,0145gry,0145-012.png,backend/uploads/products/0145-012.png
0231 bej.   #1,.jpg,0231,0231,prefixe-plus-long,0231bej,0231-001.jpg,backend/uploads/products/0231-001.jpg
0231 bej.   #2,.jpg,0231,0231,prefixe-plus-long,0231bej,0231-002.jpg,backend/uploads/products/0231-002.jpg
0231 bej.   #3,.jpg,0231,0231,prefixe-plus-long,0231bej,0231-003.jpg,backend/uploads/products/0231-003.jpg
0231 bej.   #4,.jpg,0231,0231,prefixe-plus-long,0231bej,0231-004.jpg,backend/uploads/products/0231-004.jpg
0231 Green.  #1,.png,0231,0231,prefixe-plus-long,0231green,0231-005.png,backend/uploads/products/0231-005.png
0231 Green.  #2,.jpg,0231,0231,prefixe-plus-long,0231green,0231-006.jpg,backend/uploads/products/0231-006.jpg
0231 Green.  #3,.png,0231,0231,prefixe-plus-long,0231green,0231-007.png,backend/uploads/products/0231-007.png
0231 Green.  #4,.jpg,0231,0231,prefixe-plus-long,0231green,0231-008.jpg,backend/uploads/products/0231-008.jpg
0231.  #1,.jpg,0231,0231,prefixe-plus-long,0231,0231-009.jpg,backend/uploads/products/0231-009.jpg
0231.  #2,.jpg,0231,0231,prefixe-plus-long,0231,0231-010.jpg,backend/uploads/products/0231-010.jpg
0231.  #3,.jpg,0231,0231,prefixe-plus-long,0231,0231-011.jpg,backend/uploads/products/0231-011.jpg
0231.  #4,.jpg,0231,0231,prefixe-plus-long,0231,0231-012.jpg,backend/uploads/products/0231-012.jpg
1011.    #1,.png,1011,1011,prefixe-plus-long,1011,1011-001.png,backend/uploads/products/1011-001.png
1011.    #2,.png,1011,1011,prefixe-plus-long,1011,1011-002.png,backend/uploads/products/1011-002.png
1011.    #3,.png,1011,1011,prefixe-plus-long,1011,1011-003.png,backend/uploads/products/1011-003.png
1011.    #4,.png,1011,1011,prefixe-plus-long,1011,1011-004.png,backend/uploads/products/1011-004.png
11813_1 GD.  #1,.jpg,11813/1 GD,118131gd,prefixe-plus-long,118131gd,11813-1-gd-001.jpg,backend/uploads/products/11813-1-gd-001.jpg
11813_1 GD.  #2,.jpg,11813/1 GD,118131gd,prefixe-plus-long,118131gd,11813-1-gd-002.jpg,backend/uploads/products/11813-1-gd-002.jpg
11813_1 GD.  #3,.jpg,11813/1 GD,118131gd,prefixe-plus-long,118131gd,11813-1-gd-003.jpg,backend/uploads/products/11813-1-gd-003.jpg
11813_1 GD.  #4,.jpg,11813/1 GD,118131gd,prefixe-plus-long,118131gd,11813-1-gd-004.jpg,backend/uploads/products/11813-1-gd-004.jpg
11907_12 G9. #1,.png,11907/12 G9,1190712g9,prefixe-plus-long,1190712g9,11907-12-g9-001.png,backend/uploads/products/11907-12-g9-001.png
11907_12 G9. #2,.jpg,11907/12 G9,1190712g9,prefixe-plus-long,1190712g9,11907-12-g9-002.jpg,backend/uploads/products/11907-12-g9-002.jpg
11907_12 G9. #3,.jpg,11907/12 G9,1190712g9,prefixe-plus-long,1190712g9,11907-12-g9-003.jpg,backend/uploads/products/11907-12-g9-003.jpg
11907_12 G9. #4,.jpg,11907/12 G9,1190712g9,prefixe-plus-long,1190712g9,11907-12-g9-004.jpg,backend/uploads/products/11907-12-g9-004.jpg
12063_3 LED. #1,.jpg,12063/3 LED,120633led,prefixe-plus-long,120633led,12063-3-led-001.jpg,backend/uploads/products/12063-3-led-001.jpg
12063_3 LED. #2,.jpg,12063/3 LED,120633led,prefixe-plus-long,120633led,12063-3-led-002.jpg,backend/uploads/products/12063-3-led-002.jpg
12063_3 LED. #3,.jpg,12063/3 LED,120633led,prefixe-plus-long,120633led,12063-3-led-003.jpg,backend/uploads/products/12063-3-led-003.jpg
12063_3 LED. #4,.jpg,12063/3 LED,120633led,prefixe-plus-long,120633led,12063-3-led-004.jpg,backend/uploads/products/12063-3-led-004.jpg
12065_3 LED.   #1,.png,12065,12065,prefixe-plus-long,120653led,12065-001.png,backend/uploads/products/12065-001.png
12065_3 LED.  #2,.jpg,12065,12065,prefixe-plus-long,120653led,12065-002.jpg,backend/uploads/products/12065-002.jpg
12065_3 LED.  #3,.jpg,12065,12065,prefixe-plus-long,120653led,12065-003.jpg,backend/uploads/products/12065-003.jpg
12065_3 LED.  #4,.jpg,12065,12065,prefixe-plus-long,120653led,12065-004.jpg,backend/uploads/products/12065-004.jpg
12196_3 LED.     #1.png,.png,12196,12196,prefixe-plus-long,121963led,12196-001.png,backend/uploads/products/12196-001.png
12196_3 LED.     #2.png,.png,12196,12196,prefixe-plus-long,121963led,12196-002.png,backend/uploads/products/12196-002.png
12196_3 LED.     #3.jpg,.jpg,12196,12196,prefixe-plus-long,121963led,12196-003.jpg,backend/uploads/products/12196-003.jpg
12196_3 LED.     #4.png,.png,12196,12196,prefixe-plus-long,121963led,12196-004.png,backend/uploads/products/12196-004.png
12197_3.   #1,.jpg,12197,12197,prefixe-plus-long,121973,12197-001.jpg,backend/uploads/products/12197-001.jpg
12197_3.   #2,.jpg,12197,12197,prefixe-plus-long,121973,12197-002.jpg,backend/uploads/products/12197-002.jpg
12197_3.   #3,.jpg,12197,12197,prefixe-plus-long,121973,12197-003.jpg,backend/uploads/products/12197-003.jpg
12197_3.   #4,.jpg,12197,12197,prefixe-plus-long,121973,12197-004.jpg,backend/uploads/products/12197-004.jpg
12332.  #1,.png,12332,12332,prefixe-plus-long,12332,12332-001.png,backend/uploads/products/12332-001.png
12332.  #2,.jpg,12332,12332,prefixe-plus-long,12332,12332-002.jpg,backend/uploads/products/12332-002.jpg
12332.  #3,.jpg,12332,12332,prefixe-plus-long,12332,12332-003.jpg,backend/uploads/products/12332-003.jpg
12332.  #4,.jpg,12332,12332,prefixe-plus-long,12332,12332-004.jpg,backend/uploads/products/12332-004.jpg
12373 LED.  #1,.png,12373,12373,prefixe-plus-long,12373led,12373-001.png,backend/uploads/products/12373-001.png
12373 LED.  #2,.jpg,12373,12373,prefixe-plus-long,12373led,12373-002.jpg,backend/uploads/products/12373-002.jpg
12373 LED.  #3,.jpg,12373,12373,prefixe-plus-long,12373led,12373-003.jpg,backend/uploads/products/12373-003.jpg
12373 LED.  #4,.jpg,12373,12373,prefixe-plus-long,12373led,12373-004.jpg,backend/uploads/products/12373-004.jpg
12373_1 Gold.  #1,.jpg,12373,12373,prefixe-plus-long,123731gold,12373-005.jpg,backend/uploads/products/12373-005.jpg
12373_1 Gold.  #2,.jpg,12373,12373,prefixe-plus-long,123731gold,12373-006.jpg,backend/uploads/products/12373-006.jpg
12373_1 Gold.  #3,.jpg,12373,12373,prefixe-plus-long,123731gold,12373-007.jpg,backend/uploads/products/12373-007.jpg
12373_1 Gold.  #4,.jpg,12373,12373,prefixe-plus-long,123731gold,12373-008.jpg,backend/uploads/products/12373-008.jpg
12375 LED.  #1,.png,12375,12375,prefixe-plus-long,12375led,12375-001.png,backend/uploads/products/12375-001.png
12375 LED.  #2,.png,12375,12375,prefixe-plus-long,12375led,12375-002.png,backend/uploads/products/12375-002.png
12375 LED.  #3,.png,12375,12375,prefixe-plus-long,12375led,12375-003.png,backend/uploads/products/12375-003.png
12375 LED.  #4,.png,12375,12375,prefixe-plus-long,12375led,12375-004.png,backend/uploads/products/12375-004.png
12375_1 Golde.  #1,.jpg,12375,12375,prefixe-plus-long,123751golde,12375-005.jpg,backend/uploads/products/12375-005.jpg
12375_1 Golde.  #2,.jpg,12375,12375,prefixe-plus-long,123751golde,12375-006.jpg,backend/uploads/products/12375-006.jpg
12375_1 Golde.  #3,.jpg,12375,12375,prefixe-plus-long,123751golde,12375-007.jpg,backend/uploads/products/12375-007.jpg
12375_1 Golde.  #4,.jpg,12375,12375,prefixe-plus-long,123751golde,12375-008.jpg,backend/uploads/products/12375-008.jpg
12391 LED(1).  #3,.jpg,12391,12391,prefixe-plus-long,12391led1,12391-001.jpg,backend/uploads/products/12391-001.jpg
12391 LED(1).  #4,.jpg,12391,12391,prefixe-plus-long,12391led1,12391-002.jpg,backend/uploads/products/12391-002.jpg
12391 LED.   #1,.jpg,12391,12391,prefixe-plus-long,12391led,12391-003.jpg,backend/uploads/products/12391-003.jpg
12391 LED.   #2,.jpg,12391,12391,prefixe-plus-long,12391led,12391-004.jpg,backend/uploads/products/12391-004.jpg
12391 LED.  #1,.jpg,12391,12391,prefixe-plus-long,12391led,12391-005.jpg,backend/uploads/products/12391-005.jpg
12391 LED.  #2,.jpg,12391,12391,prefixe-plus-long,12391led,12391-006.jpg,backend/uploads/products/12391-006.jpg
12391 LED.  #3,.jpg,12391,12391,prefixe-plus-long,12391led,12391-007.jpg,backend/uploads/products/12391-007.jpg
12391 LED.  #4,.jpg,12391,12391,prefixe-plus-long,12391led,12391-008.jpg,backend/uploads/products/12391-008.jpg
12398_LED.  #1,.jpg,12398,12398,prefixe-plus-long,12398led,12398-001.jpg,backend/uploads/products/12398-001.jpg
12398_LED.  #2,.jpg,12398,12398,prefixe-plus-long,12398led,12398-002.jpg,backend/uploads/products/12398-002.jpg
12398_LED.  #3,.jpg,12398,12398,prefixe-plus-long,12398led,12398-003.jpg,backend/uploads/products/12398-003.jpg
12398_LED.  #4,.jpg,12398,12398,prefixe-plus-long,12398led,12398-004.jpg,backend/uploads/products/12398-004.jpg
